source,target,weight,text_unit_ids
5TH CHAPTER,INTERMEDIATE POSITION,2.7331606912463438e-05,[0]
5TH CHAPTER,INTIMATE UNION,2.7331606912463438e-05,[0]
5TH CHAPTER,IRREFRAGABLE QUOTATIONS,2.7331606912463438e-05,[0]
5TH CHAPTER,JOINS QUICKSILVER,2.7331606912463438e-05,[0]
5TH CHAPTER,JUDICIOUS PHILOSOPHERS,2.7331606912463438e-05,[0]
5TH CHAPTER,JUPITER,2.7331606912463438e-05,[0]
5TH CHAPTER,KNOW,2.7331606912463438e-05,[0]
5TH CHAPTER,LADDER,2.7331606912463438e-05,[0]
5TH CHAPTER,LATON,8.039250544056598e-06,[0]
5TH CHAPTER,LESSER METALS,2.7331606912463438e-05,[0]
5TH CHAPTER,LESSER MINERALS CORROSIVE WATERS,2.7331606912463438e-05,[0]
5TH CHAPTER,LETTER,2.7331606912463438e-05,[0]
5TH CHAPTER,LIGHT OBJECTS,2.7331606912463438e-05,[0]
5TH CHAPTER,LIGHTS,8.039250544056598e-06,[0]
5TH CHAPTER,LIMPID WATER,2.7331606912463438e-05,[0]
5TH CHAPTER,LOFTY EMINENCE,2.7331606912463438e-05,[0]
5TH CHAPTER,LUCID NATURE,2.7331606912463438e-05,[0]
5TH CHAPTER,LUNAR,2.7331606912463438e-05,[0]
5TH CHAPTER,LUNAR STONE,2.7331606912463438e-05,[0]
5TH CHAPTER,MAGISTERY,8.039250544056598e-06,[0]
5TH CHAPTER,MAJESTY,2.7331606912463438e-05,[0]
5TH CHAPTER,MALLEABLE METALS,2.7331606912463438e-05,[0]
5TH CHAPTER,MATURE QUICKSILVER,2.7331606912463438e-05,[0]
5TH CHAPTER,MEDICINE,2.7331606912463438e-05,[0]
5TH CHAPTER,MERCURIAL,2.7331606912463438e-05,[0]
5TH CHAPTER,MERCURIAL STONE,2.7331606912463438e-05,[0]
5TH CHAPTER,MERCURY,8.039250544056598e-06,[0]
5TH CHAPTER,METALLIC BODIES,2.7331606912463438e-05,[0]
5TH CHAPTER,METALLIC COMPOUND,2.7331606912463438e-05,[0]
5TH CHAPTER,METALLIC GENUS,2.7331606912463438e-05,[0]
5TH CHAPTER,METALLIC MATTER,2.7331606912463438e-05,[0]
5TH CHAPTER,METALLIC PROPORTIONS,2.7331606912463438e-05,[0]
5TH CHAPTER,METALLIC QUALITIES,2.7331606912463438e-05,[0]
5TH CHAPTER,METALLIC QUALITY,2.7331606912463438e-05,[0]
5TH CHAPTER,METALLIC VIRTUE,2.7331606912463438e-05,[0]
5TH CHAPTER,METALLIC WATER,2.7331606912463438e-05,[0]
5TH CHAPTER,METALS DIFFER,2.7331606912463438e-05,[0]
5TH CHAPTER,MIGHTY LORD,2.7331606912463438e-05,[0]
5TH CHAPTER,MINOR MINERALS,2.7331606912463438e-05,[0]
5TH CHAPTER,MOON,2.7331606912463438e-05,[0]
5TH CHAPTER,MORBID HEAT,2.7331606912463438e-05,[0]
5TH CHAPTER,MORIENUS,8.039250544056598e-06,[0]
5TH CHAPTER,MORTIFIES BODIES,2.7331606912463438e-05,[0]
5TH CHAPTER,NATURAL COMPOSITION,2.7331606912463438e-05,[0]
5TH CHAPTER,NATURAL HEAT,2.7331606912463438e-05,[0]
5TH CHAPTER,NATURAL HUMIDITY,2.7331606912463438e-05,[0]
5TH CHAPTER,NATURAL KINGDOMS,2.7331606912463438e-05,[0]
5TH CHAPTER,NATURAL METHOD,2.7331606912463438e-05,[0]
5TH CHAPTER,NATURAL SOLUTION,2.7331606912463438e-05,[0]
5TH CHAPTER,NATURE,2.7331606912463438e-05,[0]
5TH CHAPTER,NAY,2.7331606912463438e-05,[0]
5TH CHAPTER,NEW SPECIES,2.7331606912463438e-05,[0]
5TH CHAPTER,NEW THING,2.7331606912463438e-05,[0]
5TH CHAPTER,OPERATIONS CONTRARY,2.7331606912463438e-05,[0]
5TH CHAPTER,ORANGE COLOUR,2.7331606912463438e-05,[0]
5TH CHAPTER,ORIGINAL MINERAL QUALITY,2.7331606912463438e-05,[0]
5TH CHAPTER,ORIGINAL SPERM,2.7331606912463438e-05,[0]
5TH CHAPTER,OUTWARD APPEARANCE,2.7331606912463438e-05,[0]
5TH CHAPTER,OWN CASE,2.7331606912463438e-05,[0]
5TH CHAPTER,OWN EXPERIENCE,2.7331606912463438e-05,[0]
5TH CHAPTER,OWN GENUS,2.7331606912463438e-05,[0]
5TH CHAPTER,OWN HEAT,2.7331606912463438e-05,[0]
5TH CHAPTER,OWN KIND,2.7331606912463438e-05,[0]
5TH CHAPTER,OWN LIKENESS,2.7331606912463438e-05,[0]
5TH CHAPTER,OWN NATURE,2.7331606912463438e-05,[0]
5TH CHAPTER,OWN PARTICULAR GENUS,2.7331606912463438e-05,[0]
5TH CHAPTER,OWN PROPER HUMIDITY,2.7331606912463438e-05,[0]
5TH CHAPTER,OWN PROPER SEED,2.7331606912463438e-05,[0]
5TH CHAPTER,OWN SEED,2.7331606912463438e-05,[0]
5TH CHAPTER,PARTICULAR OPERATION,2.7331606912463438e-05,[0]
5TH CHAPTER,PASSIVE BODY,2.7331606912463438e-05,[0]
5TH CHAPTER,PASSIVE ELEMENTS,2.7331606912463438e-05,[0]
5TH CHAPTER,PASSIVE MOVEMENTS,2.7331606912463438e-05,[0]
5TH CHAPTER,PERFECT BODIES,2.7331606912463438e-05,[0]
5TH CHAPTER,PERFECT BODY,2.7331606912463438e-05,[0]
5TH CHAPTER,PERFECT FEMALE BODY,2.7331606912463438e-05,[0]
5TH CHAPTER,PERFECT MALE BODY,2.7331606912463438e-05,[0]
