title,frequency,text_unit_ids
TIM,1,[0]
TIMAEUS,1,[0]
TIME FULFILS,1,[1]
TIME TRIES,1,[4]
TITLE PAGE,1,[5]
TOLERABLE DEFENCE,1,[3]
TREE OVERLADEN,1,[4]
TRIANGLES REST,1,[2]
TRIANGULAR ELEMENTS,1,[2]
TRIPLE COMPOUND,1,[3]
TRUE COSMOS,1,[1]
TRUE INSPIRATION,1,[3]
TRUE NURTURE,1,[1]
TRUE OCEAN,1,[0]
TRUE OPINION,1,[2]
TRUE OPINION DIFFERS,1,[2]
TRUE ORIGIN,1,[2]
TRUE REASON,1,[2]
TRUE WISDOM,1,[4]
TRUEST SENSE,1,[0]
TURBID SORT MIST,1,[2]
TURN IMPART,1,[4]
TURN INFLAME,1,[3]
TURN LOOSEN,1,[4]
TWENTY-SEVEN TIMES,1,[1]
TYRRHENIA,1,[0]
UNACCUSTOMED ARGUMENT,1,[2]
UNCHANGEABLE PATTERN,1,[0]
UNCLEAN MATTER,1,[3]
UNCONGENIAL ELEMENT,1,[3]
UNDERSTANDING PICTURES IMAGES,1,[3]
UNEQUAL ADMIXTURE,1,[2]
UNEQUAL CIRCLES,1,[1]
UNEQUAL PARTICLES,1,[2]
UNEQUAL PARTS,1,[2]
UNEQUAL SIDES,1,[2]
UNEQUAL SWIFTNESS,1,[1]
UNIFORM PARTICLES,1,[2]
UNIFORM PARTS,1,[2]
UNIFORM REVOLUTION,1,[1]
UNINTELLIGENT CREATURE,1,[0]
UNIVERSAL FRAME,1,[0]
UNIVERSAL MOTION,1,[4]
UNIVERSAL NATURE,1,[2]
UNIVERSAL SEED,1,[3]
UNIVERSE CONTAINS,1,[0]
UNIVERSE ETERNAL,1,[1]
UNNATURAL EXCESS,1,[4]
UNPLEASANT SIGHT,1,[4]
UNSEASONABLE EAGERNESS,1,[4]
UNSOCIABLE NATURE,1,[1]
UNWORTHY THING,1,[0]
UPPER DOWNWARDS,1,[1]
USUAL INTERVAL,1,[0]
USUAL MODE,1,[1]
VACANT INTERSTICES,1,[2]
VACANT SPACE,1,[4]
VACANT SPACE WHENCE,1,[2]
VAIN,1,[1]
VARIOUS CHANNELS,1,[3]
VARIOUS CLASSES,2,"[2, 3]"
VARIOUS DAILY DISCHARGES,1,[4]
VARIOUS ELEMENTS,1,[2]
VARIOUS FORMS,1,[3]
VAST POWER,1,[0]
VAST RIVER,1,[1]
VEGETABLE ACID,1,[2]
VEINS DISTORTS,1,[4]
VEINS FLOW,1,[4]
VENUS,1,[1]
VERITABLE ANCESTORS,1,[0]
VERITABLE TRADITION,1,[0]
VICE VERSA,1,[3]
VIOLENT AFFECTIONS,1,[3]
VIOLENT EARTHQUAKES,1,[0]
VISIBLE ANIMAL,2,"[0, 5]"
VISIBLE BODIES,1,[1]
VISIBLE BODIES FAIRER,1,[2]
VISIBLE CREATURES,1,[0]
VISIBLE GODS,1,[1]
VISIBLE MEASURE,1,[1]
VISIBLE REPRESENTATION,1,[1]
VISIBLE-THE SENSIBLE,1,[5]
VISIONS NIGHT,1,[3]
VISUAL RAY,2,"[2, 3]"
VISUAL RAYS,1,[1]
VITAL CHAINS,1,[1]
WARLIKE MEN,1,[0]
WARM MOISTURE,1,[3]
WASTE AWAY-FOR,1,[0]
WATER OCCUPIES,1,[2]
WATERY PART,2,"[2, 4]"
WATERY SPECIES,1,[1]
WAY DIVERSE,1,[3]
WAY HOME,1,[0]
WAY PERCEIVE,1,[2]
WAY SENSIBLE THINGS,1,[2]
WAY THITHER,1,[0]
WEAK INTELLIGENCE,1,[4]
WHENCE DISEASES,1,[4]
WHENEVER EARTHY PARTICLES,1,[3]
WHEREAS,1,[0]
WHEREAS FIRE,1,[1]
WHEREAS MARROW,1,[4]
WHEREFORE,4,"[0, 2, 3, 4]"
WHITE COLOUR,1,[4]
WHITE PHLEGM,1,[4]
WHOLE AFFECTION,1,[2]
WHOLE ANIMAL,3,"[1, 3, 4]"
WHOLE APPARATUS,1,[1]
WHOLE BODY,3,"[1, 3, 4]"
WHOLE BODY UPRIGHT,1,[4]
WHOLE CAVITY,1,[3]
WHOLE CIRCLE,1,[2]
WHOLE CIRCUMFERENCE,1,[1]
WHOLE CITY,1,[0]
WHOLE CLASS,1,[2]
WHOLE COURSE,1,[4]
WHOLE EXTENT,2,"[2, 4]"
WHOLE EYE,1,[1]
WHOLE INNER NATURE,1,[4]
WHOLE ISLAND,1,[0]
WHOLE LIVER,1,[3]
WHOLE MASS,1,[4]
WHOLE MIXTURE,1,[1]
WHOLE ORDER,1,[0]
WHOLE PLAN,1,[1]
WHOLE POWER,1,[3]
WHOLE RACE,2,"[3, 4]"
WHOLE SOUL,2,"[1, 3]"
WHOLE STORY,1,[0]
WHOLE STREAM,1,[1]
WHOLE SUBJECT,1,[1]
WHOLE SURFACE,1,[3]
WHOLE TALE,1,[0]
WHOLE VESSEL,1,[1]
WHOLE VISIBLE SPHERE,1,[0]
WILD ANIMAL,1,[3]
WILD PEDESTRIAN ANIMALS,1,[4]
WINTER FROST,1,[0]
WISE MEN,1,[0]
WISEST MANNER,1,[1]
WONDERFUL DEEDS,1,[0]
WONDERFUL EMPIRE,1,[0]
WONDERFUL IMPRESSION,1,[0]
WORLD COMPREHENDS,1,[0]
WORLD-THE PATTERN,1,[0]
WRONG KIND,1,[4]
WRONG ORDER,1,[4]
WRONG WAY,1,[4]
YELLOW COLOUR,2,"[2, 3]"
YORK,1,[0]
ZEUS,1,[1]
